"ASN","abuser_score","abuser_rank","active","type","Entity"
"48262","0","Very Low","False","","PT | TELENEUT-AS, GB"
"48446","0","Very Low","False","","Hostersi Sp. z o.o."
"48974","0","Very Low","False","","MD | I-INVEST, MD"
"49006","0","Very Low","False","isp","SC ITNS.NET SRL"
"49349","0","Very Low","False","","DOTSI, PT"
"49443","0","Very Low","False","isp","SC ITNS.NET SRL"
"49643","0","Very Low","False","","RO | Holland Toner Kft"
"49716","0","Very Low","False","","Fiber Telecom, LLC"
"49818","0","Very Low","False","","BG | ROYAL , RO"
"50461","0","Very Low","False","","IQ | ALMADINAH-AS , IQ"
"50915","0","Very Low","False","","S.C. Everhost S.R.L."
"50986","0","Very Low","False","","Excellent Hosting Sweden AB"
"51109","0","Very Low","False","","CAMELHOST SIA"
"51445","0","Very Low","False","","RO | DUMICONET Dumcon Intermed SRL"
"51490","0","Very Low","False","","GB | Proper Support LLP"
"51731","0","Very Low","False","","GTT-AS, CZ"
"51862","0","Very Low","False","","1&1 IONOS SE"
"51961","0","Very Low","False","","CA | XNS Technology Group Inc."
"52219","0","Very Low","False","","ROUTERNETWORKS, US"
"52302","0","Very Low","False","","PA | Awknet International, S.A."
"52499","0","Very Low","False","","BZ | MegaLink, BO"
"52733","0","Very Low","False","","BR | Volcano Com. e Serv. Imp. Exp. LTDA, BR"
"53281","0","Very Low","False","","Clearpath Hosting"
"53346","0","Very Low","False","","US | ONE-WORLD-TELECOM - One World Telecom, US"
"53370","0","Very Low","False","","dotCOM host"
"53440","0","Very Low","False","","US | NETWD - Netwide Corporation,US"
"53611","0","Very Low","False","","US | EARTHMETA MULTIMEDIA STUDIOS"
"53723","0","Very Low","False","","US | FAST2500 - Fast Lane Communications LLC, US"
"53889","0","Very Low","False","","MICFO - Micfo, LLC., US"
"54046","0","Very Low","False","","QUICKWEB-USA-NET - QuickWeb Technologies LLC, US"
"54500","0","Very Low","False","","18779 - EGIHosting, US"
"54540","0","Very Low","False","","INCERO - Incero LLC, US"
"54817","0","Very Low","False","","ALDEN HOSTING LLC"
"54997","0","Very Low","False","","US | ACQUINITY - Acquinity Interactive, LLC,US"
"55051","0","Very Low","False","","EBOUNDHOST.com"
"55150","0","Very Low","False","","US | DST-01 - DST Resources,US"
"55225","0","Very Low","False","","ILIKA - velia.net (USA) Inc., US"
"55761","0","Very Low","False","","Colocation Hosting Sdn Bhd"
"56110","0","Very Low","False","","HostRightNow Technologies India Pvt Ltd"
"56617","0","Very Low","False","","SIA VPS Hosting"
"56732","0","Very Low","False","","Hostinet AS"
"56784","0","Very Low","False","","Limited liability company MultiHOST MSK"
"56799","0","Very Low","False","","Jordens Datacenter NV"
"56831","0","Very Low","False","","RO | INEVO Inevo Labs SRL"
"57054","0","Very Low","False","","SE | BGPM Consulting AB"
"57059","0","Very Low","False","","UA | UKRADSLAS ChP Timchenko Evgeniy Nikolaevich,UA"
"57085","0","Very Low","False","","LLC Telecom-Media"
"57189","0","Very Low","False","","RU | UNIFIRM LLC"
