"ASN","abuser_score","abuser_rank","active","type","Entity"
"35555","0","Very Low","False","","RU | CrexFexPex-SecureRussia"
"35662","0","Very Low","False","","REDSTATION European Network, GB"
"35908","0.0002","Very Low","True","hosting","Krypt Technologies"
"35914","0","Very Low","False","","FireHost, Inc."
"35916","0.0002","Very Low","True","isp","MULTACOM CORPORATION"
"35974","0","Very Low","True","hosting","Quality Technology Services, LLC"
"36024","0","Very Low","False","","COLO4-CO - Colo4, LLC, US"
"36114","0.0042","Low","True","","VERSAWEB-ASN - Versaweb, LLC, US"
"36236","0.0005","Very Low","True","hosting","NetActuate, Inc"
"36263","0","Very Low","True","hosting","Amazon.com, Inc."
"36290","0.0001","Very Low","True","isp","The Cable of St. Kitts"
"36351","0","Very Low","True","hosting","IBM Cloud"
"36352","0.0042","Low","True","hosting","HostPapa"
"36408","0","Very Low","True","hosting","CDNetworks Inc."
"36536","0","Very Low","True","","Enterhost"
"36542","0","Very Low","True","government","Gwinnett County Government"
"36666","0.0013","Low","True","hosting","GloboTech Communications"
"36791","0.0003","Very Low","True","hosting","Portland Internet Hosting LLC"
"36873","0.0005","Very Low","True","isp","Airtel Networks Limited"
"36887","0","Very Low","False","","DOPC-AS, NG"
"36920","0.0011","Low","True","isp","KKON Technologies Ltd"
"36970","0","Very Low","True","banking","IPARTNERS LIMITED"
"37018","0.0006","Low","True","government","Galaxy Backbone PLC"
"37088","0.0003","Very Low","True","isp","VDT COMMUNICATIONS LIMITED"
"37135","0","Very Low","False","","MZ | tropicalweb-as, MZ"
"37153","0.0005","Very Low","True","hosting","Xneelo (Pty) Ltd"
"37170","0.0001","Very Low","True","education","University of Lagos"
"37209","0.0025","Low","True","isp","Hyperia Limited"
"37230","0.0013","Low","True","isp","Swifttalk Limited"
"37248","0.0004","Very Low","True","isp","Phase3 Telecom Limited"
"37266","0","Very Low","True","isp","Amobia Communications"
"37268","0","Very Low","False","","NG | E M West Africa, Lagos, Nigeria"
"37269","0.0008","Low","True","isp","Information Connectivity Solutions Limited"
"37280","0.0004","Very Low","True","isp","Broad Based Communications Limited"
"37308","0.0006","Low","True","isp","Steam Broadcasting and Communications Limited"
"37347","0.0057","Low","True","isp","NGCOM"
"37377","0","Very Low","False","","Futurecom, NG"
"37472","0.0001","Very Low","True","government","Nigerian Communications Satellite Ltd"
"37506","0","Very Low","True","business","Zinox Telecommunications Limited"
"37518","0","Very Low","True","isp","Fiber Grid INC"
"37521","0.0032","Low","True","isp","Internet Solutions Nigeria Limited"
"37540","0.0026","Low","True","business","Winrock Nigeria Limited"
"37643","0","Very Low","False","","Ambion-AS, NG"
"37661","0.0003","Very Low","True","education","Nigerian Research and Education Network Limited by Guarantee"
"37692","0","Very Low","False","","NetStack-AS, ZA"
"37714","0.0004","Very Low","True","isp","BITFLUX COMMUNICATIONS LIMITED"
"37775","0","Very Low","False","","ZA | DJIX-PEERING-AS, DJ"
"37962","0","Very Low","False","","SG | CNNIC-SGATHER-AP Beijing Sgather Telecom Engineering Co.Ltd.,CN"
"38001","0.0027","Low","True","hosting","NewMedia Express Pte Ltd"
"38107","0","Very Low","True","hosting","CDNetworks"
"38279","0","Very Low","False","","IOMNET-AS ISP/Hosting service Provider Manila"
"38894","0","Very Low","True","isp","ManageNET"
"38913","0.0005","Very Low","True","hosting","The Infrastructure Group B.V."
"39020","0.0005","Very Low","True","hosting","Comvive Servidores S.L."
"39326","0.0002","Very Low","True","business","Syntura Group Limited"
"39351","0.0334","High","True","hosting","31173 Services AB"
"39392","0.0003","Very Low","True","hosting","SH.cz s.r.o."
"39451","0","Very Low","True","hosting","IOMART MANAGED SERVICES LIMITED"
"39458","0.0002","Very Low","True","hosting","Real Hosts Limited"
"39523","0.0003","Very Low","True","business","Vasilyev Ivan Ivanovich"
"39536","0","Very Low","True","business","BO ICT Management, S.L."
"39572","0.0002","Very Low","True","hosting","DataWeb Global Group B.V."
"39704","0.0003","Very Low","True","hosting","CJ2 Hosting B.V."
"39756","0","Very Low","True","hosting","EASYHOST SRL"
"39798","0.0111","Elevated","True","hosting","MivoCloud SRL"
"39839","0.0002","Very Low","True","business","Punktum dk A/S"
"40156","0.0011","Low","True","isp","The Optimal Link Corporation"
"40165","0","Very Low","True","isp","Voxology Carrier Services, Inc."
"40244","0.0003","Very Low","True","hosting","Turnkey Internet Inc."
"40281","0","Very Low","True","hosting","QWK.net Hosting, L.L.C."
"40374","0","Very Low","True","hosting","High Density Hosting, Inc."
"40438","0.0005","Very Low","True","hosting","Canhost Inc."
"40446","0","Very Low","False","","CN | -Reserved AS-, ZZ"
"40529","0","Very Low","False","","US | CORBIXNETWORKS - Moxie Communications, Inc., CA"
"40539","0","Very Low","True","hosting","Hosting Consulting, Inc"
"40665","0","Very Low","False","","US | SPCTR - SPECTRE NETWORKS LTD, US"
"40676","0.0016","Low","True","hosting","Psychz Networks"
"40715","0","Very Low","True","hosting","Cologix, Inc"
"40728","0","Very Low","True","hosting","GearHost, Inc."
"40775","0","Very Low","False","","US | WIRELESSASPAS1 - Wirelessasperations, LLC,US"
"40819","0.0052","Low","True","hosting","Liquid Web, L.L.C"
"40824","0.0005","Very Low","True","hosting","Webzilla Inc."
"40861","0.0014","Low","True","hosting","Paradise Networks LLC"
"41011","0","Very Low","False","","RO | Ch-net S.r.l."
"41062","0","Very Low","True","hosting","ProstoHosting LTD"
"41079","0.0012","Low","True","hosting","Cyber_Folks S.A."
"41331","0","Very Low","True","isp","CURE NET SP. Z O.O."
"41369","0","Very Low","True","hosting","Advania Finland Oy"
"41390","0.0023","Low","True","business","SIA SOCKS"
"41427","0","Very Low","True","hosting","Datacenter d.o.o."
"41500","0","Very Low","True","business","LLC RUNET"
"41562","0","Very Low","True","hosting","Host4all Sarl"
"41653","0.0003","Very Low","True","hosting","Aqua Ray SAS"
"41665","0","Very Low","False","hosting","Tehnologii Budushego LLC"
"42120","0.0005","Very Low","True","business","MODIT Informatikai Zrt."
"42152","0","Very Low","True","business","VCD Infra Solutions B.V."
"42160","0.0002","Very Low","True","hosting","DC STAR nv"
"42210","0","Very Low","False","","Host Virtual, Inc"
"42229","0","Very Low","False","","PT | EBT-AS, PT"
"42244","0.0002","Very Low","True","hosting","eServer s.r.o."
"42311","0","Very Low","False","","PGHOSTING-DRESDEN-BACKBONE"
